workload,display,formula,bar_label,MAC Array,ACC,Scratchpad,Control Logic,total
GEMM_64x64,GEMM 64x64,D = A * B,PT,1.0583366717782,2.61955655620922,5.5403924993647795,3.505808016987798,12.724093744339998
GEMM_64x64,GEMM 64x64,D = A * B,ACT,1.3320876875355898,2.640528169134134,4.980736,3.5058297292638194,12.459181585933543
MAC_64x64,MAC 64x64,D = A * B + C,PT,1.3187564720071998,3.2641382427661596,6.90368994331784,4.368447173968801,15.85503183206
MAC_64x64,MAC 64x64,D = A * B + C,ACT,1.3320876875355898,3.288138279922401,7.471104,4.368511362004587,16.459841329462577
ADD_64x64,ADD 64x64,D = A + B,PT,0.26080123352039997,0.64552574580282,1.3652943108751798,0.8639094949416002,3.13553078514
ADD_64x64,ADD 64x64,D = A + B,ACT,0.0,0.6503982542477335,0.311296,0.8638672289952178,1.8255614832429514
